HR,WR,HE,WE,Freq
1,1,1,1,5401
2,1,1,1,56
1,2,1,1,12
2,2,1,1,460
1,1,2,1,6428
2,1,2,1,123
1,2,2,1,22
2,2,2,1,806
1,1,3,1,2090
2,1,3,1,49
1,2,3,1,9
2,2,3,1,222
1,1,4,1,313
2,1,4,1,2
1,2,4,1,2
2,2,4,1,32
1,1,1,2,7885
2,1,1,2,88
1,2,1,2,23
2,2,1,2,819
1,1,2,2,43059
2,1,2,2,500
1,2,2,2,147
2,2,2,2,5488
1,1,3,2,19820
2,1,3,2,329
1,2,3,2,49
2,2,3,2,1822
1,1,4,2,5296
2,1,4,2,52
1,2,4,2,26
2,2,4,2,349
1,1,1,3,4109
2,1,1,3,73
1,2,1,3,18
2,2,1,3,442
1,1,2,3,28941
2,1,2,3,368
1,2,2,3,156
2,2,2,3,3771
1,1,3,3,48240
2,1,3,3,670
1,2,3,3,223
2,2,3,3,5387
1,1,4,3,19702
2,1,4,3,174
1,2,4,3,65
2,2,4,3,1125
1,1,1,4,676
2,1,1,4,13
1,2,1,4,3
2,2,1,4,81
1,1,2,4,8754
2,1,2,4,78
1,2,2,4,19
2,2,2,4,817
1,1,3,4,23049
2,1,3,4,243
1,2,3,4,64
2,2,3,4,1899
1,1,4,4,62691
2,1,4,4,310
1,2,4,4,180
2,2,4,4,2466
